job,required_skills
Machine Learning Engineer,"Python,Scikit-learn,SQL,Machine Learning,Docker,Git"
Data Scientist,"Python,Pandas,NumPy,SQL,Scikit-learn,Machine Learning,Statistics"
Data Analyst,"Python,SQL,Pandas,Excel,Statistics,Data Visualization"
Computer Vision Engineer,"Python,OpenCV,PyTorch,TensorFlow,Computer Vision,Deep Learning"
NLP Engineer,"Python,NLTK,spaCy,PyTorch,TensorFlow,NLP,Deep Learning"
AI Engineer,"Python,PyTorch,TensorFlow,Machine Learning,Deep Learning,Git,Docker"
Software Engineer,"Python,Java,C++,SQL,Git,Docker"
Cybersecurity Analyst,"Python,SQL,Git,Docker"
Ethical Hacker / Penetration Tester,"Python,SQL,Git,Docker"
Software Tester / QA Engineer,"Python,Java,SQL,Git"
DevOps Engineer,"Python,Git,Docker,SQL"
Business Intelligence Analyst,"Python,SQL,Pandas,Excel,Statistics,Data Visualization"
